,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,edinburgh of the seven seas,sh,-37.0676,-12.3116,52.39,74,88,16.73,1725565726
1,ribeira grande,cv,38.5167,-28.7,73.8,60,20,10.36,1725565726
2,lycksele,se,64.5954,18.6735,62.47,94,75,3.44,1725565727
3,puerto baquerizo moreno,ec,-0.9,-89.6,76.19,88,75,17.27,1725565727
4,saldanha,za,-33.0117,17.9442,44.65,60,3,16.93,1725565727
5,labrador city,ca,52.9463,-66.9114,71.51,54,75,27.0,1725565727
6,atafu village,tk,-8.5421,-172.5159,81.55,78,16,11.72,1725565727
7,waitangi,nz,-43.9535,-176.5597,47.82,97,100,3.0,1725565728
8,greenville,us,35.6127,-77.3663,82.42,67,40,10.36,1725565423
9,villa gesell,ar,-37.2639,-56.973,53.96,52,94,8.81,1725565728
10,labytnangi,ru,66.6572,66.4183,53.22,90,100,10.92,1725565728
11,bethel,us,41.3712,-73.414,76.37,39,0,10.36,1725565728
12,colonia,fm,50.9333,6.95,78.96,62,0,5.75,1725565525
13,kodiak,us,57.79,-152.4072,53.11,94,100,0.0,1725565729
14,yellowknife,ca,62.456,-114.3525,59.41,78,100,19.57,1725565729
15,hamilton,bm,39.1834,-84.5333,91.92,45,20,4.0,1725565678
16,anadyr,ru,64.75,177.4833,48.7,93,75,8.95,1725565546
17,taghazout,ma,30.5426,-9.7112,81.54,54,82,4.61,1725565729
18,lebu,cl,-37.6167,-73.65,49.6,94,100,10.38,1725565729
19,blackmans bay,au,-43.0167,147.3167,53.73,93,100,1.01,1725565730
20,camana,pe,-16.6228,-72.7111,61.43,74,32,6.53,1725565730
21,utrik,mh,11.2278,169.8474,83.48,75,94,19.98,1725565730
22,bilibino,ru,68.0546,166.4372,35.69,98,100,2.42,1725565730
23,new plymouth,nz,-39.0667,174.0833,52.81,83,48,13.65,1725565730
24,hermanus,za,-34.4187,19.2345,43.81,66,4,5.23,1725565731
25,solnechnogorsk,ru,56.1833,36.9833,53.28,69,6,4.54,1725565731
26,margaret river,au,-33.95,115.0667,54.57,70,100,20.69,1725565731
27,puerto natales,cl,-51.7236,-72.4875,55.85,41,75,32.21,1725565570
28,bredasdorp,za,-34.5322,20.0403,44.24,82,0,5.88,1725565731
29,nema,mr,57.5067,50.5011,48.72,76,24,3.15,1725565731
30,geraldton,au,-28.7667,114.6,48.61,87,20,10.36,1725565651
31,kui buri,th,12.0828,99.8543,81.14,76,100,8.79,1725565732
32,port-aux-francais,tf,-49.35,70.2167,41.68,91,100,37.33,1725565732
33,college,us,64.8569,-147.8028,64.08,51,75,10.36,1725565732
